O programa deu esses logs: 2026-03-29 10:39:57,851 | filter | FILTER BTCUSDT | adx=22.77893164814755 apt=True atr_pct=0.10385125464784306 last_price=66561.6 liquidity_quote_sum=237499.99983897601 quote_volume_24h=671640556.296406 range_atr_ratio=8.24983048277411
2026-03-29 10:39:58,099 | filter | FILTER BTCUSDT | adx=25.61785007086322 apt=True atr_pct=0.11285614606096497 last_price=66822.99 liquidity_quote_sum=237500.00041279977 quote_volume_24h=592231080.7841196 range_atr_ratio=5.874252447929028
2026-03-29 10:39:58,104 | filter | FILTER BTCUSDT | adx=26.145194449840492 apt=True atr_pct=0.10979225267494765 last_price=66834.02 liquidity_quote_sum=237499.9993645488 quote_volume_24h=592179838.0699167 range_atr_ratio=6.0371844682364495
2026-03-29 10:39:58,109 | filter | FILTER BTCUSDT | adx=25.933133378041077 apt=True atr_pct=0.11188615712196089 last_price=66810.99 liquidity_quote_sum=237499.9998841362 quote_volume_24h=592878151.8095444 range_atr_ratio=5.926243082550238
2026-03-29 10:39:58,114 | filter | FILTER BTCUSDT | adx=26.19080312784078 apt=True atr_pct=0.11380251575213296 last_price=66875.2 liquidity_quote_sum=237499.99945324802 quote_volume_24h=591344688.075244 range_atr_ratio=6.3947937631541505
2026-03-29 10:39:58,119 | filter | FILTER BTCUSDT | adx=26.615235426466796 apt=True atr_pct=0.11389388410349041 last_price=66903.98 liquidity_quote_sum=237500.0006209688 quote_volume_24h=592662331.5986376 range_atr_ratio=6.637966455299105
2026-03-29 10:39:58,122 | filter | FILTER BTCUSDT | adx=27.57829671067162 apt=True atr_pct=0.1233434412409658 last_price=66824.68 liquidity_quote_sum=237499.99941464158 quote_volume_24h=594048397.6092277 range_atr_ratio=6.915594593853887
2026-03-29 10:39:58,127 | filter | FILTER BTCUSDT | adx=28.032762427871525 apt=True atr_pct=0.12156107552706684 last_price=66838.84 liquidity_quote_sum=237499.99949631118 quote_volume_24h=594515262.8564141 range_atr_ratio=7.015506589356332
2026-03-29 10:39:58,134 | filter | FILTER BTCUSDT | adx=28.45476630812858 apt=True atr_pct=0.11535791726845145 last_price=66816.28 liquidity_quote_sum=237500.0000254632 quote_volume_24h=594262464.552214 range_atr_ratio=7.395248563092823
2026-03-29 10:39:58,138 | filter | FILTER BTCUSDT | adx=28.472753689471105 apt=True atr_pct=0.11294523989442633 last_price=66797.37 liquidity_quote_sum=237499.999518204 quote_volume_24h=594084664.5658743 range_atr_ratio=7.555360289446402
2026-03-29 10:39:58,142 | filter | FILTER BTCUSDT | adx=28.167800046218446 apt=True atr_pct=0.10838442498670837 last_price=66781.33 liquidity_quote_sum=237500.00008565598 quote_volume_24h=591675091.8566564 range_atr_ratio=7.875180793198556
2026-03-29 10:39:58,149 | filter | FILTER BTCUSDT | adx=27.665849694653804 apt=True atr_pct=0.10538866238513069 last_price=66773.06 liquidity_quote_sum=237499.9996585996 quote_volume_24h=590702908.5684367 range_atr_ratio=8.100042608066614
2026-03-29 10:39:58,155 | filter | FILTER BTCUSDT | adx=26.407024738462024 apt=True atr_pct=0.10711557806478925 last_price=66782.74 liquidity_quote_sum=237500.0005378488 quote_volume_24h=586765367.6491289 range_atr_ratio=7.9682986939558145
2026-03-29 10:39:58,160 | filter | FILTER BTCUSDT | adx=25.238115850569656 apt=True atr_pct=0.10351967190639515 last_price=66784.5 liquidity_quote_sum=237500.0005968 quote_volume_24h=586519922.3083887 range_atr_ratio=8.244871836160076
2026-03-29 10:39:58,166 | filter | FILTER BTCUSDT | adx=24.401418084537095 apt=True atr_pct=0.09871260115071849 last_price=66781.62 liquidity_quote_sum=237500.00032857122 quote_volume_24h=586379776.7903242 range_atr_ratio=8.64675052069548
2026-03-29 10:39:58,171 | filter | FILTER BTCUSDT | adx=23.01979420598536 apt=True atr_pct=0.10267171824847607 last_price=66722.67 liquidity_quote_sum=237500.00041607278 quote_volume_24h=585285726.563443 range_atr_ratio=8.3206686523519
2026-03-29 10:39:58,174 | filter | FILTER BTCUSDT | adx=21.736857747330177 apt=True atr_pct=0.0990074201984056 last_price=66755.39 liquidity_quote_sum=237499.9994491046 quote_volume_24h=584684144.9250195 range_atr_ratio=8.624390110692932
2026-03-29 10:39:58,177 | filter | FILTER BTCUSDT | adx=20.368683061133858 apt=True atr_pct=0.09815742833072197 last_price=66738.0 liquidity_quote_sum=237500.00004359998 quote_volume_24h=585899409.9771739 range_atr_ratio=8.701339535227207
2026-03-29 10:39:58,185 | filter | FILTER BTCUSDT | adx=19.604919420636257 apt=True atr_pct=0.10050181181136172 last_price=66803.91 liquidity_quote_sum=237499.9995741792 quote_volume_24h=584967722.1124856 range_atr_ratio=8.489980669353606
2026-03-29 10:39:58,189 | filter | FILTER BTCUSDT | adx=19.673822410298264 apt=True atr_pct=0.10063268633926449 last_price=66860.47 liquidity_quote_sum=237500.0004292202 quote_volume_24h=584294704.0702504 range_atr_ratio=8.471766623676752
2026-03-29 10:39:58,192 | filter | FILTER BTCUSDT | adx=19.737803757841554 apt=True atr_pct=0.09632299925282026 last_price=66849.88 liquidity_quote_sum=237499.9993376368 quote_volume_24h=583820557.5772578 range_atr_ratio=8.852212807762672
2026-03-29 10:39:58,201 | filter | FILTER BTCUSDT | adx=19.97944377094799 apt=True atr_pct=0.09495883152944423 last_price=66823.96 liquidity_quote_sum=237499.9998375032 quote_volume_24h=585173408.896304 range_atr_ratio=8.982865651747215
2026-03-29 10:39:58,203 | filter | FILTER BTCUSDT | adx=20.885859076344744 apt=True atr_pct=0.12071789227918514 last_price=66542.88 liquidity_quote_sum=237500.00031262077 quote_volume_24h=591423321.8911281 range_atr_ratio=7.095928606798295
2026-03-29 10:39:58,208 | filter | FILTER BTCUSDT | adx=21.72753043135601 apt=True atr_pct=0.12120881751917885 last_price=66606.37 liquidity_quote_sum=237500.00000037742 quote_volume_24h=592725451.525218 range_atr_ratio=7.060451837526111
2026-03-29 10:39:58,213 | filter | FILTER BTCUSDT | adx=21.819966764829648 apt=True atr_pct=0.12377569095448554 last_price=66648.0 liquidity_quote_sum=237500.00004144 quote_volume_24h=593262853.3962901 range_atr_ratio=6.909712760694053
2026-03-29 10:39:58,218 | filter | FILTER BTCUSDT | adx=21.428210653250623 apt=True atr_pct=0.12449952206136665 last_price=66646.4 liquidity_quote_sum=237499.999378048 quote_volume_24h=593199156.7978431 range_atr_ratio=6.869705115651014
2026-03-29 10:39:58,222 | filter | FILTER BTCUSDT | adx=21.064437121070096 apt=True atr_pct=0.11858354736365533 last_price=66628.0 liquidity_quote_sum=237499.99939232 quote_volume_24h=591767532.6985679 range_atr_ratio=7.214417307574606
2026-03-29 10:39:58,227 | filter | FILTER BTCUSDT | adx=20.13615572397905 apt=True atr_pct=0.11645613866676889 last_price=66636.86 liquidity_quote_sum=237499.99958641 quote_volume_24h=586953994.5783308 range_atr_ratio=7.345232788859083
2026-03-29 10:39:58,233 | filter | FILTER BTCUSDT | adx=19.49356877395318 apt=True atr_pct=0.11623976537660827 last_price=66686.38 liquidity_quote_sum=237499.9999894944 quote_volume_24h=583669471.2737157 range_atr_ratio=7.353440916146335
BACKTEST ok | final={'quote_balance': 9996.636556324498, 'base_balance': 0.0, 'equity_quote': 9996.636556324498, 'n_trades': 870}

OBS: Deixe os logs mais humano, preciso bater o olho e entender o que está acontecendo. Prciso que melhore o sistema de carteira simulada.

{"quote_balance":10000,"base_balance":0,"equity_quote":10000,"n_trades":0}

